id,PlayerId,TeamId,StartDate
260e4d23-fb5c-4b8d-90a6-b3cfa9123f1c,4f1cc411-73b8-4981-9332-d9b3f224dfca,b824de3c-cacf-4489-84ca-b7801cba3db7,17.08.2011
88b3116e-4a7f-4b2a-8f27-cf6eb7d1d2ba,79502e4e-9b31-4d0d-9559-188eea22d935,84c3afa9-e55f-4df0-aca5-548c9cdd74ee,31.07.1999
7d0787ef-45ae-4946-a43b-b48596e71552,27ae2e05-3369-49f9-bcfd-4c76a32a21a3,6240b294-5b27-4d32-b593-d0d73d57bce7,17.09.2012
3949aac6-34f5-47af-8785-65338749ee00,caaad6b4-9e70-42e9-a8c0-cea0f490e16f,3748229b-f545-4303-a4f0-bf39565f86f2,10.01.2014
c8158795-3254-46ee-a4f3-4adf5b4ec671,1aef1436-2212-4c59-bce5-a396cd43f73d,710fbb15-7b65-40f3-99f6-a7e990cb4b53,31.07.2006
5cf6df81-ea2d-4b4f-8be8-51febb74d0ff,17fcef71-a074-4233-976a-ad8cc1ae02b2,5cf08038-6c03-4d00-99ce-15c927bb71c0,23.01.2012
1efda13f-0e5e-4bee-ad1f-22f2250709cc,b550392d-1e31-4f50-8049-b61a569af15b,c8b20b59-51b1-4f8b-a3eb-26e207287184,17.07.2005
9e414118-9b3b-4a05-8c35-1ae894944078,54bc3f7b-f16d-4be3-8920-f7f6a51e8694,05d02e85-9789-441d-b28f-689c6511cf7e,21.07.1998
e952523c-79c2-4c56-b590-8b5759861983,8cb7efdc-d2a7-4579-a022-529fa8e43e93,0a7aa027-d6dd-4c60-b5d9-29f837be7cba,14.06.2013
6a3969df-46b5-4c46-abe7-586b1514f365,2b3cded0-ea6c-4b9a-a5b1-a3e3406bb385,a621843d-fee4-4f59-82b2-62a0cf74549f,21.02.1997
94266c75-9168-4875-a3ad-c07888f6098d,a5901e6a-bb4d-42b2-a993-7f707fb30b6a,26cc1c37-325f-473c-84cb-f3db7140369c,23.08.1996
8440574b-e5fe-4925-ba17-d89f554a5ff4,198dceea-88f0-496b-a75f-30e3e698626b,52d36a44-a02a-4729-9ffc-9a1241623042,28.07.1998
ac43fbbe-7c90-48ee-b584-cdbd797cbf07,a599fd55-0231-41b0-ba1c-6389a1e7db4b,b0125450-cc7e-464d-ba7d-cab6ff9c17c5,01.04.2012
1938aea5-60dc-4a2e-8bdf-243d60e07277,cd5b8936-0188-48ab-b7ed-3a7d59ceae0b,f74c7855-407a-4989-9079-1e0e98ed1232,29.07.2004
fe736e9c-1a8b-42a0-a45d-c53007f099df,213cd91f-f917-4692-bbd3-8ac0842ab2a9,815baa9d-02cc-49ae-bf3e-0e8958712efb,23.07.1998
c421de90-62e4-4050-ace4-20332cefcb47,abeaf768-fd0c-4fce-ba51-139f76f91420,b17d9f5b-5c1e-423c-9e0f-4430ece9147b,17.12.2003
23a8d9b9-9542-4f9a-b67a-8931c1dcd282,e3179262-2c0b-4904-86f2-7ac13237bb4a,e089d826-6001-45ae-9c5f-0109c044c30b,22.05.2011
aa4afbbc-6dba-4baa-bc5b-d51b07f070a5,097970bc-8757-4b5c-8e78-dc25bbd0df40,484d45e3-5ecf-4a0a-a6ce-bdf5b150520a,05.11.2007
