Id,Location,HomeTeamId,AwayTeamId,Status,SectionCount,RowCount,SeatCount,MatchDay,StartTime,EndTime
1be55fb2-1712-4b8e-bcb0-5045231c652d,6 Ramsey Pass,05d02e85-9789-441d-b28f-689c6511cf7e,f74c7855-407a-4989-9079-1e0e98ed1232,2,10,5,7,1,27.04.2010 08:30:31,27.04.2010 10:30:31
6528a4be-9c6b-47c9-a582-0c6490fdddbe,618 Merchant Alley,0a7aa027-d6dd-4c60-b5d9-29f837be7cba,e089d826-6001-45ae-9c5f-0109c044c30b,2,10,4,5,2,28.04.2010 12:38:41,28.04.2010 14:38:41
0a3bd21d-12b1-4542-8d95-a8f5a93e3cd7,02889 Manufacturers Street,26cc1c37-325f-473c-84cb-f3db7140369c,c8b20b59-51b1-4f8b-a3eb-26e207287184,2,6,2,1,3,29.04.2010 00:38:00,29.04.2010 02:38:00
9b0daa1d-3795-4fbc-a9d4-564940f10297,2251 Marquette Park,3748229b-f545-4303-a4f0-bf39565f86f2,b824de3c-cacf-4489-84ca-b7801cba3db7,2,1,7,2,4,30.04.2010 05:06:03,30.04.2010 07:06:03
7c8cfe73-ecb7-41a7-aa9e-d29b79d045c0,19 Maple Place,484d45e3-5ecf-4a0a-a6ce-bdf5b150520a,b17d9f5b-5c1e-423c-9e0f-4430ece9147b,2,6,6,9,5,01.05.2010 16:48:19,01.05.2010 18:48:19
297cb7b9-e1d9-43da-884d-eca8da33b7e1,78766 Prairie Rose Park,52d36a44-a02a-4729-9ffc-9a1241623042,b0125450-cc7e-464d-ba7d-cab6ff9c17c5,2,9,8,1,6,02.05.2010 21:47:12,02.05.2010 23:47:12
1ab2606a-8054-4974-9022-0b580d11d019,242 Spaight Pass,5cf08038-6c03-4d00-99ce-15c927bb71c0,aa76d8d2-d1d5-4b26-ae7e-95b0f484a7f3,2,4,2,1,7,03.05.2010 17:26:55,03.05.2010 19:26:55
32e36dbf-88ed-4456-b331-535f38767523,1925 Westport Terrace,6240b294-5b27-4d32-b593-d0d73d57bce7,a621843d-fee4-4f59-82b2-62a0cf74549f,2,5,7,3,8,04.05.2010 15:29:25,04.05.2010 17:29:25
ea55fc05-7f7b-4acd-8038-0387b49b23c0,3 Melvin Road,710fbb15-7b65-40f3-99f6-a7e990cb4b53,8d2d1561-0557-41e9-9e0e-acf9eabb5fbf,2,9,2,3,9,05.05.2010 00:43:44,05.05.2010 02:43:44
f79854fe-a0e3-419a-9d3b-4a3cb7e79089,07 Merrick Point,815baa9d-02cc-49ae-bf3e-0e8958712efb,84c3afa9-e55f-4df0-aca5-548c9cdd74ee,2,7,4,8,10,06.05.2010 12:54:35,06.05.2010 14:54:35
